actor=0 SupportMetrics { calls: 2800, hits: 2095, builds: 705, evictions: 641, oversized: 0, peak_retained_bytes: 338760 }
actor=0 SupportMetrics { calls: 2800, hits: 2095, builds: 705, evictions: 641, oversized: 0, peak_retained_bytes: 338760 }
actor=0 SupportMetrics { calls: 2800, hits: 2095, builds: 705, evictions: 641, oversized: 0, peak_retained_bytes: 338760 }
actor=0 SupportMetrics { calls: 2800, hits: 2095, builds: 705, evictions: 641, oversized: 0, peak_retained_bytes: 338760 }
actor=0 SupportMetrics { calls: 2800, hits: 2095, builds: 705, evictions: 641, oversized: 0, peak_retained_bytes: 338760 }
actor=0 SupportMetrics { calls: 2800, hits: 2095, builds: 705, evictions: 641, oversized: 0, peak_retained_bytes: 338760 }
stones=20 actors=1 sims=1400: 0.213277s -> 0.218028s, 0.9782x; ranges=0.210635..0.216237/0.213265..0.218521; fingerprints match
actor=3 SupportMetrics { calls: 2800, hits: 2110, builds: 690, evictions: 626, oversized: 0, peak_retained_bytes: 337760 }
actor=6 SupportMetrics { calls: 2800, hits: 2052, builds: 748, evictions: 684, oversized: 0, peak_retained_bytes: 337560 }
actor=5 SupportMetrics { calls: 2800, hits: 2160, builds: 640, evictions: 576, oversized: 0, peak_retained_bytes: 339712 }
actor=2 SupportMetrics { calls: 2800, hits: 2149, builds: 651, evictions: 587, oversized: 0, peak_retained_bytes: 339576 }
actor=4 SupportMetrics { calls: 2800, hits: 2155, builds: 645, evictions: 581, oversized: 0, peak_retained_bytes: 337112 }
actor=1 SupportMetrics { calls: 2800, hits: 2105, builds: 695, evictions: 631, oversized: 0, peak_retained_bytes: 338368 }
actor=0 SupportMetrics { calls: 2800, hits: 2095, builds: 705, evictions: 641, oversized: 0, peak_retained_bytes: 338760 }
actor=7 SupportMetrics { calls: 2800, hits: 2137, builds: 663, evictions: 599, oversized: 0, peak_retained_bytes: 339072 }
actor=1 SupportMetrics { calls: 2800, hits: 2105, builds: 695, evictions: 631, oversized: 0, peak_retained_bytes: 338368 }
actor=5 SupportMetrics { calls: 2800, hits: 2160, builds: 640, evictions: 576, oversized: 0, peak_retained_bytes: 339712 }
actor=6 SupportMetrics { calls: 2800, hits: 2052, builds: 748, evictions: 684, oversized: 0, peak_retained_bytes: 337560 }
actor=2 SupportMetrics { calls: 2800, hits: 2149, builds: 651, evictions: 587, oversized: 0, peak_retained_bytes: 339576 }
actor=0 SupportMetrics { calls: 2800, hits: 2095, builds: 705, evictions: 641, oversized: 0, peak_retained_bytes: 338760 }
actor=3 SupportMetrics { calls: 2800, hits: 2110, builds: 690, evictions: 626, oversized: 0, peak_retained_bytes: 337760 }
actor=4 SupportMetrics { calls: 2800, hits: 2155, builds: 645, evictions: 581, oversized: 0, peak_retained_bytes: 337112 }
actor=7 SupportMetrics { calls: 2800, hits: 2137, builds: 663, evictions: 599, oversized: 0, peak_retained_bytes: 339072 }
actor=4 SupportMetrics { calls: 2800, hits: 2155, builds: 645, evictions: 581, oversized: 0, peak_retained_bytes: 337112 }
actor=7 SupportMetrics { calls: 2800, hits: 2137, builds: 663, evictions: 599, oversized: 0, peak_retained_bytes: 339072 }
actor=6 SupportMetrics { calls: 2800, hits: 2052, builds: 748, evictions: 684, oversized: 0, peak_retained_bytes: 337560 }
actor=5 SupportMetrics { calls: 2800, hits: 2160, builds: 640, evictions: 576, oversized: 0, peak_retained_bytes: 339712 }
actor=2 SupportMetrics { calls: 2800, hits: 2149, builds: 651, evictions: 587, oversized: 0, peak_retained_bytes: 339576 }
actor=3 SupportMetrics { calls: 2800, hits: 2110, builds: 690, evictions: 626, oversized: 0, peak_retained_bytes: 337760 }
actor=1 SupportMetrics { calls: 2800, hits: 2105, builds: 695, evictions: 631, oversized: 0, peak_retained_bytes: 338368 }
actor=0 SupportMetrics { calls: 2800, hits: 2095, builds: 705, evictions: 641, oversized: 0, peak_retained_bytes: 338760 }
actor=5 SupportMetrics { calls: 2800, hits: 2160, builds: 640, evictions: 576, oversized: 0, peak_retained_bytes: 339712 }
actor=7 SupportMetrics { calls: 2800, hits: 2137, builds: 663, evictions: 599, oversized: 0, peak_retained_bytes: 339072 }
