fixture,stones,moves,validate_us,geometry_us,legal_vertices_us,analysis_us,baseline_move_us,witness_move_us,indexed_move_us,query_move_us,prepare_us,certificates,cached_move_us,cached_amortized_us,cached_speedup
play-r0-ply0,0,12,0.014,0.029,0.194,0.231,0.529,0.499,0.526,0.697,0.239,0,0.545,0.565,0.937
play-r0-ply20,14,16,0.154,6.996,1.805,9.959,16.909,18.598,17.575,27.621,18.128,2,16.848,17.981,0.940
play-r0-ply40,14,16,0.126,7.035,1.710,9.198,11.331,11.508,11.450,13.456,16.654,1,11.414,12.455,0.910
play-r0-ply60,9,16,0.052,4.189,1.789,6.245,9.510,9.683,9.660,11.810,8.911,3,9.377,9.934,0.957
play-r0-ply80,9,16,0.059,3.194,1.449,6.632,7.533,7.205,7.636,9.153,17.006,2,6.454,7.517,1.002
play-r0-ply100,10,16,0.070,4.777,1.775,6.442,9.580,9.940,9.697,10.629,10.746,1,9.640,10.312,0.929
play-r0-ply120,9,16,0.065,3.248,1.100,5.333,6.925,6.663,7.015,8.655,11.656,2,6.026,6.754,1.025
play-r0-ply140,14,16,0.152,5.697,2.038,7.764,8.709,8.490,8.783,9.331,10.005,1,8.501,9.126,0.954
play-r1-ply0,0,12,0.007,0.013,0.195,0.356,0.539,0.475,0.517,0.622,0.218,0,0.523,0.541,0.996
play-r1-ply20,20,16,0.306,9.830,3.146,13.961,18.093,17.907,18.314,19.134,25.784,5,17.221,18.833,0.961
play-r1-ply40,37,16,1.062,27.059,9.223,43.531,45.370,41.323,47.413,48.805,88.490,8,37.184,42.715,1.062
play-r1-ply60,51,15,1.681,43.441,13.382,115.271,244.611,246.746,266.630,297.940,248.817,7,137.149,153.737,1.591
play-r1-ply80,54,9,2.264,47.139,14.435,127.161,241.189,220.562,274.214,311.694,331.259,3,214.522,251.328,0.960
play-r1-ply100,37,16,1.068,28.880,9.354,45.312,54.579,54.770,58.517,60.788,72.590,3,47.670,52.206,1.045
play-r1-ply120,52,16,1.773,45.823,14.267,68.695,93.134,89.841,99.677,105.889,130.574,3,87.373,95.534,0.975
play-r1-ply140,25,16,0.486,18.467,4.172,23.814,25.357,25.019,25.637,26.582,52.611,4,24.172,27.461,0.923
play-r2-ply0,0,12,0.008,0.018,0.200,0.231,0.478,0.453,0.488,0.584,0.219,0,0.490,0.508,0.942
play-r2-ply20,20,16,0.277,12.770,2.189,16.099,18.011,17.193,18.145,18.291,30.200,5,17.548,19.435,0.927
play-r2-ply40,40,16,1.077,36.293,6.428,65.811,66.938,58.585,67.827,67.492,107.595,7,50.668,57.393,1.166
play-r2-ply60,60,16,2.820,64.346,10.633,120.267,129.913,113.989,126.263,124.978,206.513,9,91.463,104.370,1.245
play-r2-ply80,80,16,5.000,110.343,15.256,187.307,217.269,191.475,208.751,202.214,343.558,13,165.791,187.263,1.160
play-r2-ply100,100,16,6.544,172.097,24.349,311.231,356.005,299.031,337.938,321.849,632.008,10,276.046,315.546,1.128
play-r2-ply120,120,16,9.430,254.626,31.078,596.494,639.018,507.121,574.779,548.238,1117.788,13,357.485,427.347,1.495
play-r2-ply140,140,16,15.064,351.327,39.819,902.298,920.456,759.529,836.560,777.783,1644.654,12,517.283,620.074,1.484
lattice-4,16,10,0.192,6.939,1.558,27.089,26.865,26.455,27.846,59.789,23.058,3,26.457,28.763,0.934
lattice-8,64,16,3.231,58.734,16.051,533.248,649.282,768.258,635.951,729.433,580.870,14,625.887,662.191,0.981
lattice-16,256,16,42.916,977.642,58.035,14905.096,15566.505,16107.776,8061.065,8695.391,15733.916,23,15262.436,16245.806,0.958
