actors,simulations,sample,variant,nodes,tracked_bytes,resident_kib,peak_kib,build_seconds
1,350,0,before,351,25961300,28684,28688,0.056833
1,350,0,after,351,24633412,27452,27456,0.056942
1,350,1,after,351,24633412,27396,27400,0.057925
1,350,1,before,351,25961300,28692,28696,0.057085
1,350,2,before,351,25961300,28688,28692,0.055988
1,350,2,after,351,24633412,27464,27468,0.057707
2,350,0,before,702,51706680,54020,54020,0.057058
2,350,0,after,702,49161552,51600,51600,0.057256
2,350,1,after,702,49161552,51480,51480,0.057363
2,350,1,before,702,51706680,53968,53968,0.057745
2,350,2,before,702,51706680,54028,54028,0.05611
2,350,2,after,702,49161552,51744,51744,0.056462
4,350,0,before,1404,103295528,104856,104860,0.057152
4,350,0,after,1404,98267224,99908,99912,0.058342
4,350,1,after,1404,98267224,99908,99912,0.057704
4,350,1,before,1404,103295528,105004,105008,0.057205
4,350,2,before,1404,103295528,105004,105008,0.058174
4,350,2,after,1404,98267224,99956,99960,0.05908
8,350,0,before,2808,206426312,206500,206504,0.062207
8,350,0,after,2808,196443304,196692,196696,0.060853
8,350,1,after,2808,196443304,196640,196644,0.060162
8,350,1,before,2808,206426312,206316,206320,0.059662
8,350,2,before,2808,206426312,206532,206536,0.058968
8,350,2,after,2808,196443304,196668,196668,0.060765
1,700,0,before,701,50760292,53048,53116,0.10682
1,700,0,after,701,48693084,50892,50896,0.106541
1,700,1,after,701,48693084,50924,50928,0.106669
1,700,1,before,701,50760292,53156,53288,0.104275
1,700,2,before,701,50760292,53032,53100,0.104699
1,700,2,after,701,48693084,51008,51012,0.106781
2,700,0,before,1402,101526992,102864,102864,0.107324
2,700,0,after,1402,97394520,98716,98716,0.105242
2,700,1,after,1402,97394520,98972,98972,0.109066
2,700,1,before,1402,101526992,102868,102868,0.106487
2,700,2,before,1402,101526992,102724,102724,0.107064
2,700,2,after,1402,97394520,98636,98636,0.10651
4,700,0,before,2804,202629272,202028,202032,0.108686
4,700,0,after,2804,194580680,194184,194188,0.114049
4,700,1,after,2804,194580680,194396,194400,0.111294
4,700,1,before,2804,202629272,202220,202224,0.110968
4,700,2,before,2804,202629272,202144,202148,0.109067
4,700,2,after,2804,194580680,194192,194196,0.110892
8,700,0,before,5608,405350776,401104,401108,0.113444
8,700,0,after,5608,389208520,385300,385304,0.114384
8,700,1,after,5608,389208520,385256,385260,0.113741
8,700,1,before,5608,405350776,401220,401224,0.110062
8,700,2,before,5608,405350776,401080,401084,0.110363
8,700,2,after,5608,389208520,385440,385444,0.113263
1,1400,0,before,1401,100399340,101636,101704,0.210513
1,1400,0,after,1401,96817564,98096,98100,0.210248
1,1400,1,after,1401,96817564,98008,98012,0.205953
1,1400,1,before,1401,100399340,101760,101892,0.206282
1,1400,2,before,1401,100399340,101512,101708,0.207347
1,1400,2,after,1401,96817564,98208,98212,0.206199
2,1400,0,before,2802,200856600,200120,200120,0.207808
2,1400,0,after,2802,193664784,193228,193228,0.208126
2,1400,1,after,2802,193664784,193068,193068,0.208324
2,1400,1,before,2802,200856600,200240,200240,0.207725
2,1400,2,before,2802,200856600,200136,200136,0.208932
2,1400,2,after,2802,193664784,193068,193068,0.213367
4,1400,0,before,5604,401285392,396700,396704,0.213265
4,1400,0,after,5604,387111008,382668,382672,0.214138
4,1400,1,after,5604,387111008,382916,382920,0.213484
4,1400,1,before,5604,401285392,396740,396744,0.21366
4,1400,2,before,5604,401285392,396756,396760,0.211622
4,1400,2,after,5604,387111008,382916,382920,0.214153
8,1400,0,before,11208,801983760,789376,789380,0.217222
8,1400,0,after,11208,773944440,762228,762232,0.21898
8,1400,1,after,11208,773944440,762072,762072,0.219874
8,1400,1,before,11208,801983760,789516,789520,0.222721
8,1400,2,before,11208,801983760,789520,789524,0.220814
8,1400,2,after,11208,773944440,762196,762200,0.222825
1,2800,0,before,2801,201478276,200484,200680,0.431648
1,2800,0,after,2801,193976964,193068,193200,0.437749
1,2800,1,after,2801,193976964,193188,193256,0.430054
1,2800,1,before,2801,201478276,200696,200828,0.434383
1,2800,2,before,2801,201478276,200512,200708,0.437272
1,2800,2,after,2801,193976964,193380,193512,0.433102
2,2800,0,before,5602,403271224,398272,398272,0.440753
2,2800,0,after,5602,388103800,383372,383372,0.432562
2,2800,1,after,5602,388103800,383440,383440,0.435594
2,2800,1,before,5602,403271224,398204,398204,0.435921
2,2800,2,before,5602,403271224,398172,398172,0.432895
2,2800,2,after,5602,388103800,383308,383308,0.429277
4,2800,0,before,11204,805675912,792532,792536,0.448751
4,2800,0,after,11204,775753032,763296,763300,0.44309
4,2800,1,after,11204,775753032,763360,763364,0.447469
4,2800,1,before,11204,805675912,792540,792544,0.443805
4,2800,2,before,11204,805675912,792372,792376,0.450037
4,2800,2,after,11204,775753032,763304,763308,0.447078
