actors,simulations,sample,variant,nodes,tracked_bytes,resident_kib,peak_kib,build_seconds
16,350,0,before,5616,413528120,410204,410204,0.068343
16,350,0,after,5616,393229000,390444,390444,0.066326
16,350,1,after,5616,393229000,390592,390592,0.067729
16,350,1,before,5616,413528120,410260,410260,0.065803
16,350,2,before,5616,413528120,410148,410148,0.065796
16,350,2,after,5616,393229000,390520,390520,0.065536
32,350,0,before,11232,827022768,817588,817592,0.103504
32,350,0,after,11232,786431496,777708,777712,0.100647
32,350,1,after,11232,786431496,777624,777628,0.112389
32,350,1,before,11232,827022768,817524,817528,0.115281
32,350,2,before,11232,827022768,817448,817452,0.108682
32,350,2,after,11232,786431496,777704,777708,0.128267
16,700,0,before,11216,811227296,799464,799464,0.151525
16,700,0,after,11216,778679312,767916,767916,0.124139
16,700,1,after,11216,778679312,767776,767776,0.125781
16,700,1,before,11216,811227296,799448,799448,0.12861
16,700,2,before,11216,811227296,799488,799488,0.124341
16,700,2,after,11216,778679312,767828,767828,0.126311
32,700,0,before,22432,1623420408,1596980,1596984,0.219682
32,700,0,after,22432,1557816704,1532844,1532844,0.216261
32,700,1,after,22432,1557816704,1532848,1532852,0.196337
32,700,1,before,22432,1623420408,1596868,1596872,0.194071
32,700,2,before,22432,1623420408,1596816,1596820,0.207405
32,700,2,after,22432,1557816704,1532752,1532752,0.214637
16,1400,0,before,22416,1605365120,1577124,1577124,0.242081
16,1400,0,after,22416,1548585448,1521728,1521728,0.239993
16,1400,1,after,22416,1548585448,1521692,1521692,0.239923
16,1400,1,before,22416,1605365120,1577192,1577192,0.243532
16,1400,2,before,22416,1605365120,1577144,1577144,0.245677
16,1400,2,after,22416,1548585448,1521712,1521712,0.241497
32,1400,0,before,44832,3210997792,3151300,3151304,0.393145
32,1400,0,after,44832,3097288016,3040424,3040424,0.393951
32,1400,1,after,44832,3097288016,3040288,3040292,0.385034
32,1400,1,before,44832,3210997792,3151492,3151496,0.375507
32,1400,2,before,44832,3210997792,3151560,3151564,0.378765
32,1400,2,after,44832,3097288016,3040360,3040364,0.382906
