fixture,actors,simulations,sample,variant,nodes,wall_seconds,build_seconds,peak_kib
80,1,1400,0,baseline,1401,0.9796129470050801,0.971683,100904
80,1,1400,0,supports,1401,1.1767423790006433,1.170028,101992
80,1,1400,1,supports,1401,1.1719086619996233,1.16525,101932
80,1,1400,1,baseline,1401,0.9826190320018213,0.97571,100904
80,1,1400,2,baseline,1401,0.9768003130011493,0.96962,100904
80,1,1400,2,supports,1401,1.1733886030124268,1.166577,101852
80,1,1400,3,supports,1401,1.1749676559993532,1.168151,101992
80,1,1400,3,baseline,1401,0.9711228330124868,0.963883,100916
80,1,1400,4,baseline,1401,0.9690801310061943,0.962187,101032
80,1,1400,4,supports,1401,1.1712853200006066,1.16446,101796
160,1,1400,0,baseline,1401,2.5683835390082095,2.560465,102892
160,1,1400,0,supports,1401,3.4953414000046905,3.487956,104200
160,1,1400,1,supports,1401,3.5013769599900115,3.493461,104052
160,1,1400,1,baseline,1401,2.5736193969933083,2.566192,102788
160,1,1400,2,baseline,1401,2.5703597009996884,2.563114,102948
160,1,1400,2,supports,1401,3.4795723849965725,3.471977,104052
160,1,1400,3,supports,1401,3.440363020010409,3.43311,104080
160,1,1400,3,baseline,1401,2.5433166079892544,2.536342,102856
160,1,1400,4,baseline,1401,2.5532605330081424,2.546214,102960
160,1,1400,4,supports,1401,3.478167171997484,3.470274,104196
240,1,1400,0,baseline,1401,8.59918687400932,8.591501,101568
240,1,1400,0,supports,1401,7.628120709006907,7.621274,102748
240,1,1400,1,supports,1401,7.670543579006335,7.662869,102588
240,1,1400,1,baseline,1401,8.72053797901026,8.713461,101528
240,1,1400,2,baseline,1401,8.652574797000852,8.645499,101452
240,1,1400,2,supports,1401,7.692203814003733,7.684836,102712
240,1,1400,3,supports,1401,7.642768943012925,7.635532,102716
240,1,1400,3,baseline,1401,8.604591071998584,8.59748,101524
240,1,1400,4,baseline,1401,8.633601749999798,8.6264,101696
240,1,1400,4,supports,1401,7.667817154011573,7.660631,102592
