fixture,stones,candidates,variant,prepare_us,move_us,amortized_us,speedup,points,dormant,supports,groups,certified,reactivated,negative_cells,eligible_negative_cells
play-r0-ply0,0,12,baseline,0.000,0.518,0.518,1.000,0,0,0,0,0,0,0,0
play-r0-ply0,0,12,legacy,0.240,0.531,0.551,0.940,0,0,0,0,0,0,0,0
play-r0-ply0,0,12,all,0.224,0.571,0.590,0.878,4,0,0,12,2,0,0,0
play-r0-ply0,0,12,four,0.198,0.569,0.586,0.884,4,0,0,12,2,0,0,0
play-r0-ply0,0,12,negative,0.408,0.568,0.602,0.861,4,0,0,12,2,0,0,0
play-r0-ply20,14,16,baseline,0.000,17.226,17.226,1.000,0,0,0,0,0,0,0,0
play-r0-ply20,14,16,legacy,22.858,16.900,18.329,0.940,0,0,0,0,0,0,0,0
play-r0-ply20,14,16,all,23.440,15.269,16.734,1.029,120,110,448,72,60,60,0,0
play-r0-ply20,14,16,four,32.800,15.040,17.090,1.008,120,110,56,72,60,60,0,0
play-r0-ply20,14,16,negative,50.438,14.122,17.275,0.997,120,110,448,72,60,60,7,112
play-r0-ply40,14,16,baseline,0.000,11.533,11.533,1.000,0,0,0,0,0,0,0,0
play-r0-ply40,14,16,legacy,16.866,11.338,12.392,0.931,0,0,0,0,0,0,0,0
play-r0-ply40,14,16,all,18.008,10.691,11.816,0.976,124,110,463,34,32,20,0,0
play-r0-ply40,14,16,four,26.374,10.665,12.313,0.937,124,110,56,34,32,20,0,0
play-r0-ply40,14,16,negative,40.218,10.557,13.071,0.882,124,110,463,34,32,20,6,96
play-r0-ply60,9,16,baseline,0.000,9.712,9.712,1.000,0,0,0,0,0,0,0,0
play-r0-ply60,9,16,legacy,8.924,9.439,9.997,0.971,0,0,0,0,0,0,0,0
play-r0-ply60,9,16,all,7.980,8.327,8.826,1.100,69,40,180,59,56,0,0,0
play-r0-ply60,9,16,four,11.190,8.303,9.002,1.079,69,40,36,59,56,0,0,0
play-r0-ply60,9,16,negative,17.000,8.366,9.429,1.030,69,40,180,59,56,0,0,0
play-r0-ply80,9,16,baseline,0.000,7.703,7.703,1.000,0,0,0,0,0,0,0,0
play-r0-ply80,9,16,legacy,16.868,6.510,7.565,1.018,0,0,0,0,0,0,0,0
play-r0-ply80,9,16,all,6.548,5.826,6.236,1.235,54,30,126,49,48,0,0,0
play-r0-ply80,9,16,four,8.706,5.832,6.376,1.208,54,30,36,49,48,0,0,0
play-r0-ply80,9,16,negative,18.256,5.813,6.954,1.108,54,30,126,49,48,0,1,16
play-r0-ply100,10,16,baseline,0.000,9.860,9.860,1.000,0,0,0,0,0,0,0,0
play-r0-ply100,10,16,legacy,10.866,9.851,10.530,0.936,0,0,0,0,0,0,0,0
play-r0-ply100,10,16,all,10.140,9.709,10.343,0.953,87,64,269,35,31,0,0,0
play-r0-ply100,10,16,four,15.044,9.715,10.655,0.925,87,64,40,35,31,0,0,0
play-r0-ply100,10,16,negative,20.598,9.768,11.056,0.892,87,64,269,35,31,0,1,19
play-r0-ply120,9,16,baseline,0.000,7.039,7.039,1.000,0,0,0,0,0,0,0,0
play-r0-ply120,9,16,legacy,11.416,6.193,6.906,1.019,0,0,0,0,0,0,0,0
